rsID,Risk_allele,Freq,OR(95%CI),P,Subtype
rs17481869,A,NA,2.14 (1.64-3.35) ,3.20E-08,BCP-ALL
rs10230978,A,NA,1.75 (1.63-1.88) ,1.89E-56,BCP-ALL
rs28665337,A,NA,1.33 (1.21-1.47) ,3.86E-09,BCP-ALL
rs3731249,A,NA,2.65 (2.22-3.17) ,1.09E-27,BCP-ALL
rs3731217,G,NA,0.70 (0.64-0.77) ,7.24E-14,BCP-ALL
rs10821936,C,NA,0.53 (0.50-0.57),5.77E-78,BCP-ALL
rs3781093,C,NA,1.34 (1.22-1.47) ,1.18E-10,BCP-ALL
rs11013051,C,NA,0.79 (0.73-0.84) ,5.92E-12,BCP-ALL
rs12779301,T,NA,1.26 (1.18-1.35) ,6.63E-12,BCP-ALL
rs2239630,G,NA,0.73 (0.69-0.78) ,2.45E-21,BCP-ALL
rs1030137,C,NA,1.21 (1.12-1.30) ,1.35E-07,BCP-ALL
